error_type,true_label,pred_label,text_preview
FP (predicted pos),negative,positive,"This is clearly intended to be a Christian book, but as such it gives a troubling message. The main character makes decisions throughout the book based on following her heart. Sure, there is some grat..."
FN (predicted neg),positive,negative,It was what he wanted when it arrived and in good condition. This really wasn't for me so I don't know that much about it....
FN (predicted neg),positive,negative,"The Monday Morning Cooking Club is a sisterhood of six friends who have met together every Monday since 2006 to cook together. The six are based in Sydney, but bring with them a wide variety of recipe..."
FN (predicted neg),positive,negative,"First of all, I read this without realizing it was the second in a series. However, with that being said, the book did a pretty good job of filling in the blanks when needed. The book started out as a..."
FN (predicted neg),positive,negative,Took me back to the 80s...
FP (predicted pos),negative,positive,I am a self starter avid reader and writer. I only bought this book because of a recommendation from a former independent circuit female wrestler on a YouTube video. I actually thought it might have s...
FP (predicted pos),negative,positive,Wow...is this a biased book! Knew it right off the bat as soon as I saw the front cover & viewed the contents. Would never buy this book BUT it would sure help going through it with your child and sho...
FP (predicted pos),negative,positive,"This novel was like ""Waiting for Godot"" except...(and I didn't think this was possible)..worse. the beginning was meandering and rambling the middle was AT BEST stagnant and the end was an abrupt and ..."
FN (predicted neg),positive,negative,"Please continue with this series,this book is so very different then most crime series won't say why but a must read you won't be disappointed...."
FN (predicted neg),positive,negative,Love this series and I couldn't put the books down....
FP (predicted pos),negative,positive,"Very disappointed in the writing of this calendar.  Definitely not Peanuts original..... being that I'm a fan, and this is not it...."
FN (predicted neg),positive,negative,"Really great read. I had first discovered the story after listening to a podcast featuring the author and was instantly intrigued. Nothing super crazy or shocking, but it’s a story you wouldn’t believ..."
FN (predicted neg),positive,negative,We love this book and the FOUND book also by Salina Yoon....
FP (predicted pos),negative,positive,"I ordered the &quot;Egypt Game&quot; waay back in Grade 3 or so and have read it a million times. I loved the character development, the sneaking around, April's melodramatic flares, and the rituals o..."
FP (predicted pos),negative,positive,"I could Not like any of the characters, most seemed mean spirited even while claiming to be friends. I couldnt finish the book.It sounded like a cute, sexy fun book, But came across as pencil porn and..."
