text,label,rating
Didn’t know I needed this versatile kitchen tool until I got one!  It’s very sturdy too!,1,5.0
Beautiful mugs qreat quality absolutely love them!,1,5.0
"I like to simplistic, rustic look of the chain shower curtain hooks, but they are not easy to install, and they do not work smoothly.  The action is kind of jerky and it’s difficult to get the curtain to reach the ends of the poles.  They tend to leave a gap between the curtain and the shower wall.",0,2.0
I was so un happy it was bend in several places and misspelled words. Sent back!!!,0,1.0
5 days after the return date the clock stopped working. The light comes on but the clock will not working. This little clock is one month old. Geeze,0,1.0
"Maybe it died from loneliness or neglect, the world will never know *sigh* - this wasn't cheap either - last JJ product for us.",0,1.0
"got these to use at our annual seafood boil that includes corn on the cob.  They worked using regular size butter cubes, however, we did shorten each stick to make sure the pressure top pieces set inside the holder.  I recommend you leave them in the fridge until just before use... if you let them warm up to room temp, we found it kind of a mess.  If the butter were colder, it would have been easier to smooth onto the corn and to dispense using the top pressure lid.  I put them in the top rack of dishwasher after use and the cleaned up perfectly.  It would be a bit messier to wash by hand because of the grease aspect.  My family all voted on these and gave them the thumbs up.",1,5.0
"I bought these to put on my granite counter top to try and mitigate some of the water off the granite... I put my soap dispenser bottle on one.. the dish soap on another and the other I put until the faucet handle.  I set them a little off the edge of the sink.  It is a perfect fix, but I think it helps some. The water drains away and into the sink - mostly.  I just think there is no real way to keep the water away from the granite completely.  They are a sturdy silicone or silicone like material.  They mostly stay put. They wash up easily and nicely. If you were using them strictly as made for - a soap dish - I can't imagine you would be happy with them.  I never hesitate to update my reviews should new info seem useful",1,5.0
"Purchased for a costume... cheesy, tinny... but has some weight to it.  Has a really crappy pin in the back.  Honestly, it's just a prop... and I wanted it to look cheesy, so for me, this works perfectly.",1,5.0
Beautiful and sturdy!!!,1,5.0
"Always seems to need 2 pairs... Why?  I don't know... these were dishwasher safe, so I rolled it.  They are red... a bit faded after the dishwasher... but eh.  We have hard water too.  I might just hand wash them if I were you unless you were doing raw meat or something.  One longer, one shorter length...the dimensions given are accurate. I never hesitate to update my reviews should new info seem useful, nor do I shy away from answering comments/questions.  I do NOT receive compensation of ANY kind for my reviews.  My purchases are VERIFIED, FULL price and 100% independent.  As are my reviews!  They are fully my opinion, which could differ from yours - and that's ok.  Happy shopping!",1,5.0
It sheds even after washing and the lint sticks on the feet.,0,1.0
"This is my second purchase of this item. Originally I purchased for my sister. She loves it and uses it daily. unfortunately I broke my original mug and asked her how she like it. After her review I decided to replace my broken one. I got this at a fantastic price. ($11.99) I love using it. I have a ton of mint in my backyard, chocolate, orange, peppermint as well as spearmint . I have been mixing the leaves and making mint tea. The only problem that I have is I got a small cut to my finger washing the steel insert. Maybe I was washing to hard. But be careful if you are handwashing the steel (tin) part. Ordering a bottle brush. that will solve the problem. But I love this item.",1,5.0
Cute cup and put it on my AMZ Christmas list since it is supposed to be dishwasher safe; clearly it’s not :( even on the top rack since my design is peeling off so that’s money down the drain,0,1.0
It's just ok...I guess I don't like plastic things all that well.,0,2.0
Look good. Fit well. Not for wide width wearer.,1,4.0
"Bought these for my crab boil.  It's really easy to use kitchen scissors on most seafood if you know how.... which is pretty easy even for beginners.  I've found kitchenaid scissors to be good quality, go thru the dishwasher and last a good, long time.  As well as being reasonably prices.  The arrived quickly (I have Prime) and in good condition.",1,4.0
