error_type,true_label,pred_label,text_preview
FP (predicted pos),negative,positive,important subject treated as class notes without accompanying explanations.  expensive for the sketchy content....
FN (predicted neg),positive,negative,worth it!...
FN (predicted neg),positive,negative,this book is a good primer on the six day war between israel and jordan and syria. the pictures and artwork are good. the only drawback to this book are the maps. often the text refers to a place or o...
FN (predicted neg),positive,negative,"""girl in hyacinth blue,"" like ""girl with a pearl earring,"" explores the legacy of dutch master painter jan vermeer. it is a fictitious account revolving around the discovery of a previously unknown ve..."
FN (predicted neg),positive,negative,interesting read. family is everything and sometimes you do what you have to in order for things to work out. this story has some strong characters....
FP (predicted pos),negative,positive,some of this stickers seem a little creepy...
FP (predicted pos),negative,positive,"nice book, but no page numbers.  lazy publisher or lazy author..."
FP (predicted pos),negative,positive,"the idea of the book is great. however, explanations are very dry. i wish an author added more diagrams, more details, and better descriptions. maybe for mathematicians, this book would be great...."
FN (predicted neg),positive,negative,"the surgeon's daughter is set in the mid-1840s in london, england and bologna, italy.  eleanore ""nora"" beady was a small child when renowned english surgeon horace croft attended her family for a seri..."
FN (predicted neg),positive,negative,"i love dk books. we have several and they make even boring subjects interesting and entertaining. this is a heavy book. it's filled with beautiful photographs, charts, and diagrams. it gives a lot of ..."
FP (predicted pos),negative,positive,"i am new to sharon shinn's writing and loved the four books of the twelve houses.  this is the first of the angel books i""ve read, and while the concept is interesting, i found the heroine to be so ir..."
FN (predicted neg),positive,negative,"my book arrived as promised in brand new condition, although i purchased it as used. it is 880 pages and i am now re-reading, having enjoyed it so much the first time around. i have started to read th..."
FN (predicted neg),positive,negative,very enjoyable reading.......
FP (predicted pos),negative,positive,"dark places keeps you wondering  &#34;who done it?&#34;... to the point of frustration... you start screaming &#34;just tell me who done it already!&#34; it stalls in places and gets a bit redundant, ..."
FP (predicted pos),negative,positive,"we have used birnbaum's to plan every wdw vacation we took & every day & every year was perfectly planned. expected 2022 to be as useful / helpful as past editions. wdw has had a lot of changes, was e..."
