text,label,rating
Fix without any problems.,1,5.0
"My motherboard only came with one USB port, but I needed a second one.  This provided two more USB ports.  It was easy to install.  Just plug it into the corresponding slot on the motherboard and plug in the USB 3.0 connector.",1,5.0
Not quality!  2 broke after using them 2x. Don't waste your money,0,1.0
very disappointed -  the holes for the turn screws werent drilled properly  the parts didnt sit flush  so i have a return in progress  i really wanted this but oh well life goes on,0,1.0
"Useless because of the transmitter, because it's not universal like it should have been.  Waste of money.",0,1.0
"This was a waste of money. Not only would it never fit an 11"" reflector (7-8"" max), it is incredibly cheaply made (FYI, made in China, per the packaging). This is essentially a miniature shower cap from the $0.99 store. In fact, a $0.99 store shower cap might be of higher quality. Please be aware this is made of VERY thin nylon, and would easily melt or catch fire if the bulb in your application is too hot for it (I would not use it anywhere near even a CFL). Also, the material is too thin to effectively diffuse multiple LEDs, providing only minimal diffusion (softens shadows a little bit, but not enough). The description says ""good quality nylon"". Nope--the nylon in a travel windbreaker is easily 10x stronger, and other diffusers I have used are all made of significantly better stuff. This nylon feels tissue-paper thin, like you could easily puncture it with a blunt fingertip--really cheap. Pictures included show the cheap nylon, and the inability of the material to effectively diffuse LEDs in a ring-light I happened to have handy, on a medium-brightness setting. The nylon this is mad from is simply too thin to be of much use for anything but low, soft lighting.",0,1.0
"Awesome tripod for travel. I have an older Mafroto that I wouldn't  trust with a cheap peice of glass let along my L series lenses. I also have a larger, newer Vangaurd, which is a beast of a tripod. It's amazing but it would take up way too much room to travel with. This tripod fits the bill for travel and I feel comfortable enough with it to support the heavyset of my gear. It also looks pretty cool.",1,5.0
"If you want a cover for your Chromebook this is a good one.  It's light and installs very easily and accommodates all the plugs, ports and openings on the computer.",1,5.0
As I have had quite a few computer speaker systems this one sounds great Harman Kardon just makes really good stuff in general  and I certainly was not disappointed with this p c mag says this could be the best buy in consumer electronics  ever and it has been there top rated speaker system in the 200 or less category well I have to say I have had computer speakers that cost well over 200 and I like these better I have been listening to high end audio for many years and for what these are they are excellent  highly recomended,1,5.0
"These work well.  I was able to easily pair them with my TV.  I didn't find them all that comfortable, but they worked well.  I have a small head.",1,4.0
Perfect for my son's laptop.,1,5.0
Video works fine audio was bad had a very bad noise in it.  Ended up getting another set top box from cable company so much easier.,0,1.0
Looks like real leather and sturdy,1,5.0
this is not strong enough for an average mirrorless camera - it would be OK for a large pocket camera,0,2.0
"I purchased the 4G and have had a lot of problems -- still not working.  First, if you do not have WiFi at home, you will need to find a hotspot.  From that point, you will not find the instructions to be intuitive at all.  I have spent most of the evening sitting at different hotspots trying to get registered at AT&T -- until that happens, no Kindle.  Unless you want to see your 63-year-old aunt, mother, sister, or grandmother sitting at a McDonald's late at night trying to register her new Kindle 4G, I would not purchase this item as a gift.  I will update this review if it appears that a fix is on the way.",0,1.0
I got this for my son-in-law's birthday and he took it to the beach the next weekend.  He was very pleased with the sound quality and everything about it.,1,5.0
Good Product,1,5.0
After seeing another review of a lady's (this) charger melt while plugged in to her phone. I noticed the same things with mine. It always heats up a lot when plugged in for any amount of time. I'm afraid to keep it plugged in all night in case of a fire,0,1.0
"Really stupid design on the volume control, in my opinion.  Most speakers have a knob, making it easy to reach around and adjust the sound.  But these have a low-profile kind of dial that made it hard to adjust the sound volume unless you pulled the speaker right over close to you or used both hands.  I tried living with them for a week or so, thinking maybe I could get used to it, but I really hate them.  I just bought the Altec Lansing 220 speakers and am donating these others to Good Will.",0,1.0
Good product,1,5.0
"I love the different lengths. Long for bedside, short for car,  medium for work.",1,5.0
"Did the trick! Solid Bars, holy cow. Does exactly as says.",1,5.0
This thing really doesn't work.,0,1.0
"I am very happy with the Sabrina tripod, and that it isn’t like other aluminum tripods that are very light in weight, although this is not heavy either,but has some weight to it. This is very sturdy and will not move on a windy day. It comes with every feature you could want. I especially like the level that helps you set up your camera for long shots. The rotation of 360 degrees gives you all the versatility you might need.  It closes up to a size that is easy to transport.  In all This tripod a thumbs up. 5 stars",1,5.0
Good value for the price. Quality made product. I even like the assorted colors. I would recommend.,1,5.0
"States on the product page that it works with iOS of 12.5 which I have. It doesn’t. If I had known this camera wouldn’t work with my operating system on my older iPhone as stated, I wouldn’t have bought it. When I went to hook it up, it told me it needed an OS I think at least 14 to work. Then I couldn’t do UPS pickup and don’t have an Amazon locker in my area so had to take it a UPS store in the next county to return it. Gas isn’t cheap. Customers shouldn’t have to jump through hoops to return an item that was described incorrectly on the website.",0,2.0
"Several years ago, we purchased digital frames for the grandparents. In comparison with those, this one looks much nicer and has a larger display. My tech savvy husband first tried to download the suggested app. He was unable to find the right one for his Android phone. There's a slot for an SD card, but it uses large SD cards which aren't as common anymore, so we didn't have any. It does allow for a flash drive to be inserted, so that's how we are using it. The picture quality is pretty good. We have been using high resolution pictures on it, so if you use lower resolution ones, it may not look as nice. When it's all said and done, we do like it, though we wish we could have gotten the cloud app to work with it.",1,4.0
"I would never use it in my shower, so I can only tell you it is great in dry places. Great loud sound.",1,5.0
"I order this MP3 for my wife, it was very hard to work it and the screen response was poor response. Hard to understand how to set the time and date, also hard to download your music. I would not recommend this product.",0,1.0
"Came in a timely manner and contained everything it said. A pack of 3 compressed air cans and the bonus phone stand.  Pros: Pretty straight forward. It's a can of air. I used it to clean my computer and keyboard and it does that just fine. Came at a pretty good deal compared to other brands but functioned just as well.  The bonus stand is a random accessory to pair with this product. However, as far as stands go, it's pretty decent. It has very good grip and works well with any phone, and is sturdy.  Cons: Not much really. Its compressed air and works as intended. Only downside is that it seems to leave a bit more cold condensation when you use it compared to other products. I haven't had it hurt anything but if that's a problem, perhaps look for a more trusted product.  The stand works like a stand. Not much else to say unless you don't like their logo on it.",1,4.0
"Had higher expectations. Weak, loose, noisy. The roller ball is a distraction instead of an asset. Trying for years to replace a Microsoft Trac-ball. This is a swing and a miss.",0,2.0
"Like everyone else has been saying, the HDMI inputs stopped detecting my monitors after a few months. This is an outdated product with no way to update, and you should look elsewhere for something that will last.",0,1.0
This is easy to use and has a pretty clear picture.,1,4.0
