text,y_true,wrong_LogReg,wrong_SVM,wrong_NB,wrong_RF,wrong_RoBERTa,wrong_DistilBERT,wrong_BERT
My 2nd grade class hated it,0,True,False,False,False,True,False,False
I was enjoying this book right up until the point where the GD word was inserted.  I threw the book away.  I won't buy any more from this author.,0,False,False,False,False,True,False,False
"I love Kristan Higgins books and this one did not disappoint. Let me start by saying that I read for fun. I want to be entertained. I am not nit picky about the depth of characters or details about the plot. I agree with some of the other reviewers that it started out slowly. But after the first few chapters it does pick up and I had difficulties putting it down. I stayed up late just to finish it. I found the characters to be likeable. That's important to me. The chapters alternate between the two sisters' point of views. I started out liking Jenny better than Rachel, but by the end, I grew to like Rachel, too. I follow the author on FB and the book sounds just like her! Higgins is quirky and funny and so was this book. Yes, there's a little bit of language, but it's not excessive by any means. I think it just makes it more realistic. Both sisters go through some personal growth and I was happy for them both in the end. I purchased this book months ago and I am sorry that it took me so long to find the time to read it.",1,True,True,True,True,False,False,False
"Scottish pride, persuasion, and passion…  The Radical War of 1820 is tearing Britain apart. In Scotland, cries of liberty, equality, and fraternity ring out in the streets, and the planned visit of the newly crowned British king fuel is fueling the Rising.  In this new series, an aging Sir Walter Scott wrestles with his past as he recalls three extraordinary women who found courage in the Highlands to fight for the future of a nation.  Historical fiction is one of my absolute favourite genres and especially when set against the turbulent backdrop of 1800’s Scotland. Highland Crown is a breath-taking novel which will pull you right into the heart of the action from the very beginning. The attention to detail is absolute perfection and even if you have never visited Scotland before, you will feel like you know it inside out by the time that you finish this book.  The book opens with a prologue by non-other than Sir Walter Scott! As someone who has read all of his books, this was so wonderful to have him be given a voice as a character in Highland Crown. He sets the reader up with a vivid backdrop of a turbulent 1820's Scotland, right before jumping into the action where we meet our main protagonist, Isabella Drummond; a beautiful physician on the run from English soldiers and Scottish rebels alike. After her husband is murdered, she makes her escape into the Highlands and holes up in a spinster’s cottage in the hope of disappearing from sight. Her plan to lay low is abruptly cut short when a ship’s Captain is washed ashore during a terrible storm and her life is put in even more danger than she could ever imagine.  Cinaed Mackintosh has just lost everything; his ship (Highland Crown), his trade, most of his crew and almost his life. Washed up on shore after a devastating ship wreck he is saved by Isabella. Adding more risk to her life, the only way Cinaed can keep Isabella safe is to return to the place from which he was banished years before. When the truth of his past is revealed, what are these two ill-fated lovers willing to sacrifice in order to be together.  Highland Crown is book 1 of the Royal Highlander Series but can be read as a standalone, although I know I for one, will be reading all the books in this fabulous series!",1,True,True,True,True,False,True,False
"Warning Carpathian novels by Feehan are addictive. There are also written with a formulistic bent. Read one and you only have to change the names and faces for the rest of the series. Even the sex scenes contain the author's favored verbiage over and other--why is everything so &#34;sinful&#34;? The series is also too long. Finally, gave on it.",0,False,False,False,False,True,False,False
"This ABC book is sturdy and attractive.  The idea of this board book is to introduce children to some of the more unusual colors that exist, beyond the primary colors and their near relations.  Each page highlights two colors, such as onyx, fuchsia, or burgundy.  The accompanying artwork is done primarily in the colors on the facing page.  I love the idea that children can be introduced to colors beyond the usual, and kids who have this book read to them will have the advantage of having many more colors in their art arsenal as they go to school.  All the unusual colors are summarized at the end of the book.  Some of these colors were new even to me, such as romp and xanadu.  This book would make an excellent gift for a preschooler whose parents are open to the unusual approach it takes to color.  Highly recommended.",1,False,False,False,False,False,False,False
"this is one of those ghost stories that you will fall in love with. If you have seen and loved  the movie &#34;the ghost and Mrs. Muir&#34; then this book is for you. There is an old mansion that is in desperate need of repair, and someone to live there and love it. The characters are so well written. I love how they all mesh together no matter what century they come from...and yes, some are ghosts. That is what makes this book such a good read. You will fall in love with all of the characters as did I..well except maybe &#34;one&#34;. the old lord of the manor because he doesn't want anyone living in his house and will stop at nothing to make sure it doesn't happen!",1,False,False,False,False,False,False,False
"I purchase calendars for my grandsons each year - this year 6 and 9.  They love to be able to make notes on special dates.. (how many days until we visit Grandma is my favorite)... these calendars have stickers, specific for each month - and I think they will both love that part too.",1,False,False,False,False,False,False,False
I enjoyed it. I hope there is another in the future.,0,False,False,False,False,True,True,True
I don't have a lot of time to read and is was written where the daily reading is too long.,0,False,False,False,False,True,False,False
"First of all, this was not what I expected after reading the summary of the book. It was very interesting and not cliche' as first expected. It did take a little while to get into the story. It was a little confusing in the beginning, too. The pace is a bit slow. There is reference to drugs, sex, and alcohol. The main character is flawed and well written. I was torn between giving it a 3 star or 4 star review, but in the end I decided that it deserved 4 stars. It was entertaining and that is one of my ultimate goals of reading.",1,True,True,True,True,False,True,True
"This is a very long, drawn out story of love and hate. The characters are one sided and sadly predictable. The writing is simple, and the plot is predictable. It would make a good book for a teenager, except there is violence between men and women which is cruel and painful to read.",0,True,True,True,True,True,False,False
"This book is so disjointed I had to reread the first few pages to make the next make sense - and it only helped a little, I ended up just reading past what didn't make sense and got some clarification later. The rest of the story flows smoother, but is so disjointed its distracting. The hero of the story, Sebestian, leaves his wife for 6 years and no one knows why, he comes back reinvigorated with love for his wife Eleanor and she receives him happily. I was reading this on a Kindle and so don't have the usual sense of where in book I am, but it seemed like the first half this book was only content from the two main characters and the author realized there is nothing else going on besides this ""oh-so mysterious"" intrigue that all the sudden other characters popped up. Its intrigue was not intriguing. There was no mystery. The characters were likable enough, but lacked depth. If your husband leaves off and on for 3 years and then just gone for 3 years - would you ask questions? I guess Eleanor was so relieved to have him back and continue her ""spy-work"" that she just accepted his return. The entire thing was tedious to get through. And towards the end, well it sucked. Things just happened because you made it to a new page. The story had potential, but overall its disjointed and lacking.  It must be known that an author like Jillian Hunter can sell based on her name alone, but now I just feel taken advantage of - this book is not worth your money. With a disappointment like this...I'm not sure how she'll redeem herself.",0,False,False,False,False,True,False,False
"At first I thought this would be a helpful book, but if you have questions about specific tasks you would like to perform, it is useless.  I would not buy this book again.",0,False,False,False,False,True,False,False
"I just couldn't make it more than halfway through this. It was slow and every character was narcissistic and cliched.  The wife with a nasty center core....the cheating, arrogant rich husband and of course, the sleazy side chick. I realized at just shy of halfway through that I had read this plot one time too many and had no more patience for it.",0,False,False,False,False,True,False,False
It was what he wanted when it arrived and in good condition. This really wasn't for me so I don't know that much about it.,1,False,False,False,True,False,True,False
"This is very basic and takes too long to make any real progress.  More problematic is the Spanish is so rigid it comes close to incorrect.  For example, the constant use of ""Yo"" in front of the first person verbs.  This is not the way Spanish people speak.  Using ""Yo"" is for emphasis, and is not used generally... it is assumed by the use of the verb.  So if I want to say ""I speak Spanish,"" I would say ""Hablo español"" and not ""Yo hablo español.""",0,False,False,False,False,True,False,False
I am just starting to read this book and am already confused.  Three time zones and each one of them is poorly developed. I had to start taking notes to keep track of which characters belong to each time and their relationships. Not sure if I want to keep reading this book.,0,False,False,False,False,True,False,False
"The problem with Amazon KDP, is low-effort, low-quality items are allowed to be 99% copied. Even author names are ripped off. This is ridiculous. This design isn't the sellers. It's cheap, and the paper is too small. The artwork is stolen.",0,False,False,False,False,True,False,False
"I found it strange that a book that deals so much with a funeral home and undertakers could be so enthralling! This is my first book by Sara Blaedel. It was very fast paced and I read it all over two days. The main character, Ilka, goes to the US for the reading of her late & estranged father's will. She inherits a funeral home and all the responsibilities that go with it. The descriptions of the funeral world were pretty detailed and interesting. I didn't really care for Ilka, but I found her to be an engaging character. There is a mystery of sorts that takes place. Ilka doesn't really have anything to do with the mystery or the solving of it other than working at the funeral home. A lot of the content was a bit bland, but it was well written and I kept wanting to read it anyway.  I was disappointed that everything doesn't get wrapped up in the end and instead it ends with a &#34;to be continued&#34;. Depending on how long a wait there is until the next book, I will probably read it for my much needed closure.",1,True,True,True,True,False,False,False
This was a gift for our friend who has been cooking on his manifold for years! He loved it.,1,False,False,False,False,False,False,False
My kid likes it but it’s a short book,0,False,False,True,False,True,False,False
