text,label,rating
"Najmieh Batmanglij, the ""guru of Persian cuisine,"" wrote the first edition of Food of Life back in 1986 as a way for her to pass down Persian cooking (and culture) to her sons. More than twenty-five years later, ""Food of Life"" is still going strong and has been given a beautiful update. This anniversary edition includes 330 classical and regional Iranian recipes as well as an introduction to Persian art, history, and culture, new recipes adapted from sixteenth-century Persian cookbooks, added vegetarian options for most recipes, master recipes with photos illustrating the steps, an overview of the long legacy of Persian cooking, and color photos of most recipes with presentation suggestions. A beautiful green ribbon bookmark makes it easy to find your place.  In Iran, cooking is not a solitary act meant only to put food on the table, but one that brings family and friends together to laugh, tell jokes and stories, and recite poetry. This expanded edition of ""Food of Life"" is rich with Persian poetry (written in Farsi as well as translated into English) that complements various ingredients, recipes, and lifecycle events. You'll find witty retellings of Mulla Nasruddin that combine food and humor, as well as excerpts from the Thousand and One Nights and early Persian literature. There are also detailed descriptions of various holidays in Iran, as well as the traditional Iranian wedding ceremony with suggestions on how to plan your own. Gorgeous illustrations including miniatures, manuscripts, and reproductions from bas-reliefs provide a glimpse of Persian culture throughout the ages, including lavish court feasts. The food photography is also beautiful, featuring traditional Persian sofrehs and accents. For those new to Persian cuisine, a wonderful list of sample menus is included that covers main meals, Persian holidays and lifecycle events (you'll even find a suggested Persian-American hybrid Thanksgiving menu featuring sweet and sour stuffed turkey and pumpkin khoresh).  The recipes are clearly laid out (vegetarian substitutions are printed in green in the margins where applicable) and easy to follow, and I appreciated the thorough glossary of ingredients, terms and Persian cooking techniques, the bilingual English-Farsi list of ingredients and common trees, plants and flowers, as well as the updated list of Iranian stores and restaurants (including internet stores). Though there are certain ingredients that will have to be mail ordered (golpar, grape syrup, dried Persian limes, dried rose petals, mahlab, etc.), most recipes call for ingredients that should be readily available at your grocery store or butcher. Persian cuisine tends to use a large variety of fresh and dried herbs and seasonal vegetables, making it a great way to use up produce from your farmer's market or CSA. I particularly loved the opening chapter of appetizers and side dishes; I like to make two or three and serve them as a light dinner. There are many healthy, tasty yogurt-based dips and salads such as yogurt, cucumber and rose petal dip, yogurt and spinach dip, and yogurt and white broad bean salad as well as cheese, walnut and herb dip, olive salads, and light veggie salads. Stuffed vegetables also play an important role in Persian cooking; I loved the vegetarian version of the quinces with rice stuffing (delightfully sweet-tart from the grape molasses, balsamic vinegar, and lime juice), the stuffed eggplants with walnut and onion stuffing, and the potatoes stuffed with eggs and fresh herbs.  Kukus, or open-faced omelets, are another versatile staple that can be served as a snack, appetizer or main dish. They can be served hot or cold and hold in the fridge for several days, making them perfect for a quick leftover meal with a salad. I loved the apple, raisin, and date omelet: I used Fuji apples (but left out the optional cayenne), and I loved the hint of rosewater in the batter. I also tried the pistachio kuku with its side salad of heart of Romaine and dill; I would have never thought to make an omelet with nuts (you grind them with sugar in the food processor first, so there are no large chunks), but it was a very pleasant discovery. Instructions are also included for finishing the omelet in the oven rather than the stovetop (I found that my Le Creuset 10"" cast iron skillet was perfect for this).  Another revelation was the fish baked in yogurt with walnut and dill topping. The yogurt kept the fish wonderfully moist, while the walnut topping made with fresh herbs and bread crumbs added a wonderful crunch. There are numerous variations for kababs including lamb, veal, fish, and organ meats, as well as an incredibly thorough  chapter on rice dishes, chelows and polows with fantastic step-by-step photos on how to prepare the tahdig, the golden crust at the bottom of the rice pot that is the most prized part, with no fewer than seven variations. There are even instructions on how to make Persian rice in a rice cooker, a handy touch for busy modern cooks. Polows are one of my favorite things to make as I regularly have many spices and dried fruits on hand, and the many variations using seasonal fruits such as apples and quince make for lots of happy exploring.  As a baker, I particularly enjoyed the chapters on desserts, pastries and candies and breads. One of my favorite discoveries was the Armenian sweet bread; I found I had all the ingredients on hand (I used ghee in place of butter) and substituted cardamom for mahlab, and the three resulting loaves looked just like those pictured (see above for photo). Due to it being a very rich dough, the bread does not rise much, but the moist crumb was delicately scented with cardamom and just sweet enough (I used pearl sugar as a garnish). It also freezes well for last-minute company. Chapters on preserves and pickles, drinks (including tea, coffee, and flavored syrups), and snacks and street foods round out the offerings.  This beautiful anniversary edition of ""Food of Life"" captures the essence of Iran both ancient and modern, and the book brims with poetry, grace, and the joy of a good meal with family and friends. This is a beautiful tribute to Persian cuisine and culture; the scent of saffron and rosewater seems to rise from its pages, and I find myself coming back to its recipes and stories again and again. ""Food of Life"" holds a place of honor in my cookbook collection, and I hope it becomes one of your favorites as well. Nush-e Jan!  (Review copy courtesy of Mage Publishers)",1,5.0
"I must admit I didn't know too much about Howard Hughes until my husband made me sit through the movie ""The Aviator.""  I personally found the movie to be quite boring; however, it piqued my interest to find out more about Howard Hughes.  After reading all the reviews on the various books, I chose this one (Howard Hughes:  The Untold Story).  It was very difficult to put the book down; it tells a most fascinating life story.  Hughes' life was unbelievable; he should have died several times before he even turned 30!  Definitely an interesting and entertaining book.",1,5.0
"I'm So disappointed in this cookbook! I have to say I bought it at Costco when it first came out, and did not have time to look at it,  or  use it right away,  and its so old school type of Cooking.  I'm wanted a cookbook with Healthy Food recipes not a cookbook using Processed & canned foods, and that is what this is.  I gave it away to a friend that does care what she eats, and is not well, but she like this cookbook.!!",0,1.0
"Frankly, I was disappointed with this book. I actually had to force myself to finish it, which is a very unusual situation for me. I have read every single other book about Kit several times, and enjoyed them all, mainly due to the fact that they were set in the Great Depression.  Well- written historical fiction is my favorite type of book to read. This book makes only one reference to the Depression, literally only one sentence. If I was not familiar with Kit's character already, I would not have known what the setting was, due to the lack of historical references. There is very little continuity between the events and characters in the former books and this one. Lastly, the concluding &#34;Peek Into the Past&#34; section, always present in the other Kit mystery books, has been reduced to two pages and no historical photographs. If this is what the content and format of the &#34;Beforever&#34; books is going to be like, I doubt seriously if I will buy any more.",0,2.0
"Light gray print on very high gloss pages creates a VERY BRIGHT glare that makes the pages EXTREMELY DIFFICULT  IF NOT IMPOSSIBLE TO READ.. I basically gave up for fear of eye-strain if I persisted. This is a pity, because what I could read seemed quite good..",0,1.0
This authorized biography is a real snoozer. You get very little feel for the man.,0,1.0
My 4 yr old grandson wanted this read to him the moment it arrived. And it did not disappoint him. Great illustrations and perfect length to hold his attention.,1,5.0
"Usually I don’t care for books that jump back and forth between characters and times, but this author does a magnificent job with that technique. I was very sorry when the book ended , as I wanted it to go on and on!",1,5.0
"The Couple on Maple Drive is a well-written, quick-read psychological thriller about Isla and Zack.  On the night of her promotion party, her boyfriend Zack -- son of the company's owner-- had to work late.  His rotten relationship with his father means he can't turn him down if he orders him to work late. Isla decides to walk home from the party and wakes up in the hospital.  She was mugged and Zack moves in to take care of her.  Isla has post traumatic amnesia from a concussion and a broken arm, so she's stuck at home for awhile.  She begins compulsively watching crime shows and listening to ""Christie's Crime Addicts - True Crime Podcast,"" broadcast by four up and coming amateur sleuths.  Isla is clever, a fan of Escape Room scenario games and she starts working on what happened the night of her attack.  She has several suspects.  Carrington intersperses the podcast with the evolution of Isla's personal crime solving effort to good effect.  All in all this is a solid 3.5 star book, rounded up.",1,4.0
"I have just had the pleasure of attending a seminar by Linda Kay Davidson entitled &quot;On the Road to Compostela,&quot; in which she narrated a two-hour slideshow of her five pilgrimages in Spain with her husband and several students. Much of the content of &quot;The Pilgrimage Road to Santiago&quot; was touched upon during the lecture: the religious background, various myths and legends, stories from the rural villages along the road, and the spiritual experience involved. One of my favourite moments was when Davidson asked, &quot;What is a pilgrimage?&quot; The audience was composed of various nationalities, religions and ethnic groups, but we all had ideas to offer. The third or fourth brave soul said that a pilgrimage was a religious experience. She continued her explanation and we arrived at the definition of a pilgrimage as a journey that takes one away from comforts and friends, a journey of self-discovery, and one that must be made on foot. She mentioned other secular pilgrimages: Graceland, the Alamo, and on a more sombre note, the Alfred P. Murrah Building in Oklahoma City and the former site of the World Trade Centre in New York City. A pilgrimage can extend to finding a deeper meaning in life, not necessarily of a religious nature, a pilgrimage as a voyage of discovery. I was fortunate to attend Linda Kay Davidson's seminar; I learned a great deal about pilgrimages in general and Santiago de Compostela, about the history of the region, the terrain, the rural towns and friendly townsfolk, cloistered nuns who had not seen the next village over and would never do so except by postcard, the architecture, from gothic to baroque, the sometimes humorous stories of saints' lives, the sombre roadside shrines for pilgrims who ultimately did not finish their journey. This is an excellent guide to Santiago de Compostela whether you are merely interested in reading more about the region or if you are planning a pilgrimage yourself. And if you have the chance to see Linda Kay Davidson in person, do so. She makes the journey a memorable one, taking time at the end of the seminar to show a brief slideshow with a medieval soundtrack and had us mentally create (or recreate) a pilgrimage of our own to Compostela. It was a fascinating experience and one I won't soon forget.",1,5.0
