text,label,rating
i hope this fit ok  i checked fit as expected but they are for a christmas gift  they are ADORABLE though  i wish i wore socks,1,5.0
Good pj,1,4.0
Was already in a million peices when my daughter received she threw out waste and horrible craftsmanship. Still finding beads and crap all over the house. Wasn’t cheap other.,0,1.0
"Cute dress, but it is fully see through. The fabric is very very thin. Such a cute fabric, but it’s so sweet through it cannot be worn.",0,2.0
Product did not come boxed or any protection. The wallet looks like it is a fake.,0,2.0
"Cheap and uncomfortable, but they look pretty. Return tho... comfort over style for me....",0,1.0
These booties are cute and fairly comfortable.,1,5.0
Just what I was looking for. Glad I purchased.,1,5.0
Super cute and functional for school,1,5.0
"I got this tee shirt for a relative as a gift.  He loves the material, the fit, and the sentiment.",1,5.0
Band is fairly large. Just a tiny bit snug on mom who has a medium wrist. For a small wrist it would be loose.,1,5.0
"These are quite easily the worst pants I have ever put on my body. The fabric is weird. It looks like a scuba type material. It feels very slippery. It is shiny. The zipper on the front will do you zero favors. While the pants are very stretchy, the waist around the top of the zipper isn't stretchy at all. They aren't tights, but they aren't quite pants. So they are snug in random places, like the butt and the knees. I cannot express how much I hate these pants.",0,1.0
Super cute dress for summer! (Baby doll style hides any problems in the middle!) make sure you get the right size for your chest measurement- I bought 5 different ones! With some strappy wedge sandals you are good to go! (Might be a bit short for tall gals.),1,5.0
"I ordered this for my son for this summer. One wash later, (washed as instructed inside shirt) and the letters are peeling off horribly. I would expect better from a name like Carter's.",0,1.0
Disappointed that it's not at all readable. I even wrote and asked before I bought it.,0,2.0
Very cute thin dress type socks.,1,4.0
"I always purchased Ked's sneakers, no one made a show for all day, and light weight. I am so happy, to get this shoe at this price. I have many sandals from Sketchers, love the quality, I have one pair 10 years old.  Had to go to a meeting,  had to walk in front of a crowd, my husband told me later, what wonderful looking little sneakers they are, they go with everything. I was shocked, he never actually says anything about my shoes or sandals. They fit wonderful on you feed, I can wear them all day, I am very active and bike, play tennis and play golf. Walk a great deal doing housework and yard work. I can tell you, you will love this shoe. You see this shoe for 75.oo to over 100.00 in stores. this is a better quality and on sale.",1,5.0
"The fabric used is very, very thin. It's see thru. Unfortunately, the flowers are very vivid. So, wear a cami under this one and if you love bright, bright roses you'll love this shirt.",0,2.0
Not comfortable as it's too tight not soft and it hardly stretches would not purchase this product again,0,2.0
"I live in Florida and love Crocs brand, the never fate or wear, you actually have to dispose of them because after 8 years my soles lose the threat on the soles, they get slippery on a wet floor.  I am also a fan of this brand, because it wears so well. Since I live year round in warm weather, I rarely wear enclosed shoes unless I go to a Gym. I must say Croc became elegant with this flip flap, I can  wear it with a dress. or nice slacks. Recommend this highly, they also reasonable priced for this brand name.",1,5.0
"very lovely bracelet.  Color is true, fit is generous",1,5.0
"So far, I like this purse a lot.  I have no negatives to report so far.  I like to have different pockets & zippered areas to put things in because I don't like to have all the stuff I carry in one pocket.  That way it's easier to find things and keep things organized.  It's great!",1,5.0
"For me, these jeans came up higher in the front than the back (and I don't have a big rear end either).  So they didn't feel right and they seemed to want to slide down when I walked.  Otherwise, the fabric was nice and soft and they looked good from the hips down.",0,2.0
"Due to the great price I found in my size, I ended up buying three pairs of these shoes. I returned one, that was just due to me not liking the look of black patent on them though. I kept the pairs I ordered in blue and white though to go with spring and summer dresses and skirts that I have, trying to dress up my wardrobe a bit so I dont rely on flip flops all the time.  I rank these as running somewhat small, but not terribly so. I am about an 11.5 in shoes, kind of wide. I bought these in a 12 because they were available (which is not super common for this size) and I didn't want the issue of my toes possibly going over the front (not a cute look), and I'm glad I did because they fit perfectly for me. So I would say maybe go half a size up and order direct from Amazon or a seller that has free returns so you can easily send back if the sizing doesn't work out for you.  My one negative, and this is due to my weird toes more than anything, is that my second to last toe has a habit of poking out the side of one of the straps. But not a big deal .  I haven't worn these for an extended period of time, but then I typically don't wear dressy shoes for long. I just don't have many occasions that call for it. But for the short amounts of time that I have worn them, they've been pretty comfortable for me.",1,5.0
Nice for yoga or light exercise but I wouldn’t use for weight lifting or anything because some of the stitching doesn’t look all that great. Good leggings for going to the store or hanging out tho.,1,4.0
Returned.,0,1.0
Work as they should. I use them on my luggage in room as I travel. Keeps everything I want secure - secure. These came in 4 different colors.  Nice - everyone can keep there own code and recognize by color.,1,5.0
"Really nice tunic top with hoodie, perfect for the colder weather. I live in northern Florida and I am always looking for warm tops that I can use during fall/winter/spring evening wear. This tunic is a perfect fit (I am 5'7"" 160 lbs and I got a size large), it's soft and attractive, long enough to look great with leggings and is light enough to wear in 60 degree temperatures and also warm enough to wear in days and evenings colder than that. I really love this tunic and highly recommend!",1,5.0
"I didn't need them so I donated, again. But they kept me too warm for this climate.",0,1.0
"I am 5""7 size 4  pant size small size in tops. i have small boobs as well  and this fit at a perfect snug. I ordered a small. so if you you want a looser fit just order one size up. The elastic waist band hit a little higher  than i thought, toward my lower ribs. but that's ok, i wear high waisted pants and it goes, again if you order one size up it should hit more in that mid section. Over all i love it. The arms go all the down(which if you're tall you know what i'm talking about), the hood is a decent size, and it's actually has a front, not like other fishnet ""hoodies"" i see that just have no front.",1,5.0
"Cute, priced well, non-functioning.",0,1.0
These shoes were a waste of money. I don’t like to return items so I will give them to GoodWill,0,1.0
"I have never bought the Glamorize brand bra before, but I was attracted by the front closure.  It fits well and gives nice support and it’s comfortable.  The price was a factor too.",1,5.0
"My husband doesn't wear cowboy boots, but he does wear work boots.  We are always on the search for a good work boot sock.  Husband is a big guy- spends 7 days a week in a work boot.  These socks are pretty thin - but they stay up and are snug, without being uncomfortable.  They are a gray color - which is perfect - white socks never last long.  They appear to reinforced in the right places, toes and heels - across the top of the foot.  I wish they were a bit thicker, but I am hopeful these will last for 6 months or more.  I never hesitate to update my review should new info seem useful.",1,4.0
"Put these on a birthday wish list and was pleased to receive them. They are a great size, not too big or small and have nice sparkly to them. A VERY light green color, more of a green tint than anything, looks very close to the picture",1,5.0
Love these! So comfortable and flattering. They can be casual or dressed up with heels. I ordered the green and burgundy ones and both are beautiful colors.,1,5.0
"I own a lot of DKNY products, and sizing has never been an issue, before this.  This product runs VERY small, and even then the cup size is sub-A cup.",0,1.0
"Looks good in the picture, extremely cheap in reality. Box it was shipped in was falling apart when it got here. Haven't used it to travel yet, but pretty sure it won't make it through one flight unscathed. Should have paid more attention to the reviews and saved my money toward a better set. Was swayed to try them by a few good reviews and the need to save money. &#34;If it's too good to be true....&#34; Is definitely true in this case. My bad!",0,2.0
I bought these for my grandson who lives in another state.  He is 8 years old.  His Mom reports that they fit him well.  I never hesitate to update my reviews should new info seem useful.,1,5.0
Polyester crap material... shiny... not tshirt as described:((((,0,1.0
"At first when I pulled these out of the bag, I thought.... how is this an XS? It is a large fit, for sure, but I wanted to use these for gardening and so I didn't really care if they were a little big, that was fine. These feel quality, there's no overpowering chemical smell like a lot of clothes these days, and they are comfortable too. But the straps are literally so awful to adjust that if I can't get it adjusted to the proper length I will be returning because this is ridiculous.",0,2.0
"Over priced wife beater material with buttons. From the pictures, I expected way nicer material. It's long and very unflattering unless tied up if you have any curves. I purchased a medium at 5'6 156lbs (muscular) 34C and should have gone small.",0,2.0
My 2.5 yr old grandson loves These!  Great product. Runs slightly small.,1,5.0
"I was hoping for a loose summer top.  While the top is loose, it's a bit too thick, for summer weather.  Additionally, the top does not have a flattering fit; it makes one appear much larger.",0,1.0
Got them for my husband and he loves them,1,5.0
"I am so sorry I ordered this. The romper itself is loose fitting and generously sized for an XL. An XL on me would normally fit perfect or tight depending on the cut. However, this fits nice and a bit loose. It feels comfortable on and has a front tie and two generous side pockets. HOWEVER, this is totally see-through. In addition, it has that terrible polyester feel. It is made in China of 65% polyester and 35% cotton but I would never know there is any cotton in this garment.  This also came with a broken piece of jewelry that does not open. It has a clasp that is permanently affixed to the end of one of the loops on the chain and the piece that hangs down has a broken link that is just permanently twisted in place. I suspect this is supposed to be a wristlet where the attached clasp attaches to the broken link but I cannot test that because the link does not exist.  Although the jewelry should be thrown out, the romper can be worn if one does not mind baring all their essentials. My rating of 2 stars is only for the romper as a result of being see-through and having an awful polyester feel. I did not add my rating of the jewelry because it seems some people got a wristlet and others did not. If I had added this into the review, I might have rated this 1 star.  This romper is not what I expected. I suspect the other colors are a lot less revealing. It is an attractive outfit, otherwise.  I will not be wearing this no matter how comfortable this is.",0,2.0
