error_type,true_label,pred_label,text_preview
FP (predicted pos),negative,positive,"first, let me say that i have been decorating cakes for years and i am very familiar with fondant and sugar gum paste methods.  so, i am able to look at all of these final pictures of the cakes and re..."
FN (predicted neg),positive,negative,"first of all, this was not what i expected after reading the summary of the book. it was very interesting and not cliche' as first expected. it did take a little while to get into the story. it was a ..."
FN (predicted neg),positive,negative,"this book does a good job in covering vital voices, which began as a government initiative during the clinton administration, led by hillary clinton and then madeleine albright after the un 4th world ..."
FN (predicted neg),positive,negative,i enjoy short stories and novellas because i can read one story and put it down to read later.  these stories were interesting and just scary enough....
FN (predicted neg),positive,negative,took me back to the 80s...
FP (predicted pos),negative,positive,date rape and 3 sisters. this book had tremendous potential but lacked character development to carry it and the denoument wasn't as poerful or resolute as the subject matter and the sisters needed to...
FP (predicted pos),negative,positive,"i bought this for my daughter, who is learning to play the guitar. i thought via the reviews, that the text would be very clear, easy to understand and follow. what also sold me was the cd which was i..."
FP (predicted pos),negative,positive,"i like to finish a book with a &#34;wow&#34; - i'm afraid this time it was a &#34;whew&#34;.  i am still reeling from the story, which was a laborious account of a father trying to reunite with his so..."
FN (predicted neg),positive,negative,"ocean girl was a family-friendly australian tv show that lasted for four seasons, although only three seasons were shown in the united states. this novel came out after the first season premiered, and..."
FN (predicted neg),positive,negative,"this is a gripping story that keeps you reading to the end. it does start out slowly though, and had me wondering what i was getting into. many of the chapters are on the long side, which don't work w..."
FP (predicted pos),negative,positive,"sigh. the only character in this book that doesn't whine, pout, sulk, cry, act like a spoiled brat or behave in self destructive ways for attention is the location. the mom & her new fiance, olivia an..."
FN (predicted neg),positive,negative,"the ""evernight"" novels ([[asin:0061284440 evernight (evernight, book 1)]], [[asin:0061284467 stargazer (evernight)]], hourglass and afterlife) focus on seventeen-year-old bianca, half-vampire, half-hu..."
FN (predicted neg),positive,negative,a page turner at its best  .. i couldnt put this book down .... i was upset that it ended  !!!  dont miss this one !...
FP (predicted pos),negative,positive,"this book had such potential - so much so that it being developed as a tv series. the character of greta left me cold, she has the immaturity of a 16 year old, over 400 pages, 6 years and one world wa..."
FP (predicted pos),negative,positive,extremely sentimental and far too abstract for a young child to understand. might be nice as a legacy but it’s target is for green ups....
