text,label,rating
Easy to use and appear to be well made,1,5.0
I've bought so many of these Audubon birds as toys for my small dog who plays with them endlessly. this one had a faulty squeeker. it made no sound at all. which is unusual because I've only gotten 2 or 3 out of 20 that were defective. but these things happen. the seller was wonderful about replacing this and doing it very quickly too. this is a fabulous seller and I highly recommend them.,1,5.0
"Didn't work, had to return it",0,1.0
I will never buy this again! Never got to enjoy it. It's supposed to have three blow up rings not two! I don't know how in the world I am going to return this and this was over $40!!!!,0,1.0
"Unfortunately, I agree with previous posts regarding this toy. While recommended for children over 3, it has very inappropriate comments for the target age group. The sayings are filled with attitude that is more geared for teenagers than preschoolers and young elementary children. I gave this  truck to my 4 1/2 year old son for Christmas. While he likes any truck that moves and talks, every adult that has been around Wrecky has thought the same thing as me - &#34;hide it until he forgets about it then get rid of it!&#34; In addition to the comments it makes, it it rough with its motions. This makes it a hassle to use indoors and it lives up to its name in this regard- it wrecks everything in its path (including any child's body parts within the room). The box and description do not have much details on what it says, so I was surprised by the comments and noises Wrecky makes (this was a lightning deal, so I didn't have the time to research it more, which in retrospect I wish I had been able to). Matchbox simply missed the mark with comments meant for older kids in a toy marketed to younger children.",0,1.0
"I could tell by the box something wasn’t right. This is janky, very small for almost $60 (Slightly larger than a toaster) and it came damaged. My daughter’s birthday is in 5 days so I’ll just be returning for a refund.",0,2.0
Good,1,5.0
I gave this as a gift to my boyfriend and he LOVES it. He gets to carve out rocks which he loves! Highly recommend for any age.,1,5.0
Great little mini Thomas and friends set. Grandkids love it. Fun to line up or connect. Good for counting as well. Would make a great gift.,1,5.0
What a cutie! This dinosaur is absolutely adorable! He's a good quality plush toy.  He's super soft. His details are well done. I am very impressed with him. He is so much nicer than what you would get at the carnival or from a claw machine.,1,5.0
"So soft to touch, and cuddly too. Love it, it's a great pillow.",1,5.0
"When we first opened this game, we were all excited.  It looked like it promised to be SO much fun.  The game comes with a large blue arena and three discs that fit inside with different ruts patterned in them for a different performance of the game.  There are two zip type strips that slip through the two tops that come with the game.  There is a handle in the zip type strips.  The idea is that you hold the starter tool after slipping the zip strip into the top and then quickly pull the strip out of the top and place it in the arena.  The tops spin all over the arena knocking into each other and the last top left standing wins.  This game would be more fun if:  1.  The arena was bigger.  More room is needed for the tops to really spin around nicely  2.  The inner discs were more varied in design and sturdier.  3.  The tops were equal in performance.  In this kit one of the tops is a dud. Plain and simple.  My family is not overly thrilled with this game- in fact we were bored.  Who wants to play a game when one top is always slanted against and loses?  This game has potential, but for our family, it was a big FAIL.",0,1.0
This was very interesting To play with. I just put it on the table in spinned it very slowly...was very relaxing too.,1,4.0
